Radiant_Score,Dire_Score,Win,Radiant_Gold_Per_Minute_Per_Game,Radiant_XP_Per_Minute_Per_Game,Radiant_Lane_Efficient_Points_Per_Game,Radiant_Stuns_Per_Game,Radiant_Tower_Kills_Per_Game,Radiant_Actions_Per_Minute,Dire_Gold_Per_Minute_Per_Game,Dire_XP_Per_Minute_Per_Game,Dire_Lane_Efficient_Points_Per_Game,Dire_Stuns_Per_Game,Dire_Tower_Kills_Per_Game,Dire_Actions_Per_Minute
31,20,0,2715.7599999999998,2697.6399999999994,316.09,189.54999999999998,7.5,1127.0500000000002,2955.49,2582.65,352.36999999999995,110.27,12.78,1178.02
0,0,1,1695.69,1757.1399999999999,232.23000000000002,81.36999999999999,3.6600000000000006,805.5300000000001,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,0,1780.8799999999997,1750.7199999999998,244.83999999999997,96.18999999999998,3.4,832.36,2516.4599999999996,2442.47,351.5,161.29,6.97,1158.6
0,0,1,1727.7299999999998,1764.3200000000002,229.95,144.49,3.7,737.0200000000001,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
26,36,1,1816.82,1920.6100000000001,248.63,110.66,3.6199999999999997,835.47,2790.84,2663.43,365.38,124.16000000000001,7.8999999999999995,982.2500000000001
35,31,0,1824.79,1897.4600000000003,244.31,121.36,3.53,974.3800000000001,2790.84,2663.43,365.38,124.16000000000001,7.8999999999999995,982.2500000000001
0,0,1,2235.13,2169.45,295.52,128.04000000000002,5.87,866.4699999999999,2516.4599999999996,2442.47,351.5,161.29,6.97,1158.6
0,0,0,2680.4199999999996,2633.82,366.46,105.25,9.440000000000001,896.1300000000001,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2680.4199999999996,2633.82,366.46000000000004,105.25,9.44,896.1300000000001,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2660.56,2604.24,334.83,90.96000000000001,9.12,691.55,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2566.9,2546.7699999999995,326.13,129.62,8.5,804.6,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,0,2857.5299999999997,2798.8,339.94000000000005,163.85999999999999,5.470000000000001,776.69,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2680.4199999999996,2633.82,366.46000000000004,105.25,9.44,896.13,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2660.56,2604.2400000000002,334.83,90.96000000000001,9.120000000000001,691.55,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
3,20,1,2661.23,2520.5499999999997,345.30000000000007,102.87999999999998,7.84,1539.17,2718.78,2548.84,369.48,116.41000000000001,7.39,997.61
11,26,1,2661.23,2520.5499999999997,345.30000000000007,102.87999999999998,7.84,1539.17,2718.78,2548.84,369.48,116.41000000000001,7.39,997.61
0,0,1,2425.88,2449.45,281.38,156.19,5.15,709.2,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
11,24,1,2505.07,2707.46,344.98,158.29,6.31,1103.13,2413.2400000000002,2614.42,336.61,160.03,6.17,1084.0600000000002
28,20,0,3042.6800000000003,3074.54,364.2,82.12,9.97,1592.8899999999999,2391.05,2572.37,341.32,149.68,7.3,1020.06
14,8,0,2505.07,2707.46,344.98,158.29,6.31,1103.13,2413.2400000000002,2614.42,336.61,160.03,6.17,1084.0600000000002
24,55,1,2852.0099999999998,2990.6500000000005,367.71999999999997,156.27,9.36,919.6099999999999,2391.05,2572.37,341.32,149.68,7.3,1020.06
0,0,0,2263.8500000000004,2181.51,290.7,216.39999999999998,7.28,1480.9900000000002,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
10,22,1,2519.21,2494.2,325.22999999999996,141.68,7.359999999999999,1171.68,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
38,12,0,1985.67,2252.0699999999997,262.41,113.60000000000001,4.9799999999999995,801.15,2157.41,2436.91,294.77,140.47,5.93,1002.7799999999999
12,23,1,2715.7599999999998,2697.64,316.09,189.54999999999998,7.5,1127.0500000000002,2955.49,2582.6499999999996,352.36999999999995,110.27000000000001,12.780000000000001,1178.02
0,0,1,2246.5499999999997,2114.63,297.15,113.71000000000001,5.91,815.7700000000001,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
12,27,1,2478.53,2466.0499999999997,317.82000000000005,159.84,6.380000000000001,992.5500000000001,2790.84,2663.43,365.38000000000005,124.16,7.8999999999999995,982.25
0,0,1,2110.55,2100.08,277.66,179.34,5.62,769.55,2649.5799999999995,2636.65,363.09,101.92,8.82,996.66
0,0,1,2306.02,2259.8,288.83000000000004,140.9,5.949999999999999,758.91,2516.46,2442.47,351.49999999999994,161.29,6.970000000000001,1158.6
9,22,1,2715.7599999999998,2697.64,316.09,189.55,7.5,1127.05,2955.49,2582.6499999999996,352.36999999999995,110.27000000000001,12.780000000000001,1178.02
0,0,1,2378.1000000000004,2390.81,293.36,112.81,6.1,1023.64,2649.5799999999995,2636.65,363.09,101.92,8.82,996.66
