Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
friberg,1.02,0.69,69.2%,0.97,74.8,0.66,2016-06-14,2016-09-12
f0rest,1.11,0.65,70.7%,1.10,76.2,0.73,2016-06-14,2016-09-12
crux,0.79,0.83,65.2%,0.67,67.8,0.55,2016-06-14,2016-09-12
GRAMPZ,0.93,0.70,68.7%,0.87,65.7,0.60,2016-06-14,2016-09-12
jcrueL,1.06,0.70,65.2%,1.07,73.4,0.74,2016-06-14,2016-09-12
MAiNLiNE,0.96,0.80,63.3%,1.22,76.9,0.65,2016-06-14,2016-09-12
CONNOR93,0.98,0.70,67.8%,0.89,72.3,0.65,2016-06-14,2016-09-12
pyth,0.96,0.71,63.9%,1.02,70.5,0.64,2016-06-14,2016-09-12
RIKO,1.11,0.71,70.1%,1.12,85.3,0.72,2016-06-14,2016-09-12
karbon,0.85,0.68,65.7%,0.76,60.9,0.55,2016-06-14,2016-09-12
ak-nY,0.84,0.80,57.6%,1.02,76.3,0.51,2016-06-14,2016-09-12
Fighter,1.04,0.76,69.6%,1.00,79.9,0.77,2016-06-14,2016-09-12
draken,1.14,0.63,69.7%,1.22,76.1,0.74,2016-06-14,2016-09-12
REZ,1.09,0.66,70.1%,1.06,78.2,0.72,2016-06-14,2016-09-12
SmithZz,0.99,0.68,68.7%,0.97,66.7,0.62,2016-06-14,2016-09-12
bodyy,1.06,0.66,72.5%,1.02,73.1,0.66,2016-06-14,2016-09-12
shox,1.19,0.68,70.1%,1.27,85.6,0.80,2016-06-14,2016-09-12
ScreaM,1.19,0.64,72.3%,1.21,81.9,0.78,2016-06-14,2016-09-12
RpK,1.09,0.65,72.6%,0.99,75.6,0.69,2016-06-14,2016-09-12
freddieb,1.03,0.70,67.9%,1.06,76.1,0.68,2016-06-14,2016-09-12
xelos,0.99,0.71,67.1%,0.99,75.2,0.65,2016-06-14,2016-09-12
ruin,1.21,0.74,67.9%,1.45,87.1,0.85,2016-06-14,2016-09-12
markeloff,0.96,0.69,66.7%,0.90,70.1,0.65,2016-06-14,2016-09-12
wayLander,0.89,0.75,64.0%,0.89,69.1,0.62,2016-06-14,2016-09-12
B1ad3,0.85,0.75,62.4%,0.84,67.9,0.56,2016-06-14,2016-09-12
Shara,0.93,0.73,65.6%,0.94,73.1,0.62,2016-06-14,2016-09-12
WorldEdit,1.08,0.69,65.7%,1.21,76.4,0.74,2016-06-14,2016-09-12
djay,0.70,0.79,64.2%,0.70,52.9,0.43,2016-06-14,2016-09-12
MtE,1.10,0.69,72.8%,1.03,81.5,0.77,2016-06-14,2016-09-12
AGN,1.06,0.77,65.4%,1.26,80.5,0.69,2016-06-14,2016-09-12
Skadoodle,1.12,0.54,75.3%,0.96,68.4,0.67,2016-06-14,2016-09-12
n0thing,1.14,0.65,71.4%,1.18,79.5,0.74,2016-06-14,2016-09-12
Stewie2K,1.24,0.67,73.1%,1.38,86.5,0.79,2016-06-14,2016-09-12
shroud,1.18,0.62,73.6%,1.15,82.7,0.75,2016-06-14,2016-09-12
k0RsAr,1.06,0.68,78.5%,0.94,68.1,0.65,2016-06-14,2016-09-12
v1c7oR,1.18,0.66,75.3%,1.27,81.7,0.74,2016-06-14,2016-09-12
dream3r,1.22,0.60,76.5%,1.15,82.5,0.78,2016-06-14,2016-09-12
nkl,1.02,0.65,72.5%,0.93,70.2,0.64,2016-06-14,2016-09-12
hooch,0.92,0.68,67.6%,0.80,67.0,0.58,2016-06-14,2016-09-12
mou,1.08,0.67,68.1%,1.16,75.2,0.72,2016-06-14,2016-09-12
AdreN,1.19,0.70,69.5%,1.32,87.7,0.81,2016-06-14,2016-09-12
Dosia,1.00,0.71,67.0%,0.98,77.1,0.66,2016-06-14,2016-09-12
spaze,0.98,0.73,66.0%,1.04,73.3,0.67,2016-06-14,2016-09-12
bubble,1.26,0.60,75.5%,1.27,85.2,0.80,2016-06-14,2016-09-12
autimatic,1.17,0.64,74.5%,1.10,82.0,0.76,2016-06-14,2016-09-12
limp,1.10,0.67,72.9%,1.15,77.9,0.69,2016-06-14,2016-09-12
RuStY,1.15,0.67,74.0%,1.16,81.5,0.76,2016-06-14,2016-09-12
Geko,1.01,0.70,74.2%,0.89,71.3,0.65,2016-06-14,2016-09-12
shEMETA,1.16,0.70,74.7%,1.07,85.7,0.79,2016-06-14,2016-09-12
minko,1.01,0.69,66.9%,1.05,69.4,0.68,2016-06-14,2016-09-12
MILENK0,0.96,0.75,70.0%,0.92,73.1,0.58,2016-06-14,2016-09-12
pNshr,1.06,0.71,70.5%,1.07,79.3,0.67,2016-06-14,2016-09-12
Barken,0.96,0.67,70.3%,0.89,68.3,0.60,2016-06-14,2016-09-12
powerputte,1.11,0.58,70.6%,1.11,72.8,0.71,2016-06-14,2016-09-12
cajunb,1.13,0.63,70.0%,1.16,78.2,0.74,2016-06-14,2016-09-12
psycho,1.02,0.68,71.2%,0.99,69.1,0.70,2016-06-14,2016-09-12
niki1,1.11,0.67,69.7%,1.11,84.8,0.74,2016-06-14,2016-09-12
NK4Y,1.09,0.66,72.9%,0.98,78.1,0.72,2016-06-14,2016-09-12
AFFICHKO,0.93,0.77,67.2%,1.04,72.8,0.59,2016-06-14,2016-09-12
xek,1.12,0.65,70.2%,1.08,81.3,0.76,2016-06-14,2016-09-12
k0nfig,1.16,0.70,69.9%,1.25,86.1,0.79,2016-06-14,2016-09-12
Magisk,1.16,0.61,72.7%,1.11,81.3,0.73,2016-06-14,2016-09-12
Partodis,0.85,0.73,69.2%,0.66,66.9,0.57,2016-06-14,2016-09-12
117,1.29,0.62,81.0%,1.05,94.1,0.81,2016-06-14,2016-09-12
aiwa,1.13,0.48,71.4%,1.14,60.5,0.62,2016-06-14,2016-09-12
xixi,1.17,0.62,76.2%,1.07,89.6,0.67,2016-06-14,2016-09-12
sakula,1.68,0.48,85.7%,1.55,99.4,1.14,2016-06-14,2016-09-12
alex,1.66,0.43,90.5%,1.55,98.0,1.00,2016-06-14,2016-09-12
SPELLAN,0.86,0.77,63.2%,0.93,69.2,0.61,2016-06-14,2016-09-12
CeRq,1.11,0.77,70.8%,1.27,82.6,0.77,2016-06-14,2016-09-12
BASS,1.05,0.80,67.5%,1.31,76.4,0.72,2016-06-14,2016-09-12
flickz,1.01,0.71,68.5%,1.00,78.2,0.64,2016-06-14,2016-09-12
nez,0.81,0.72,67.5%,0.59,64.3,0.50,2016-06-14,2016-09-12
mswag,1.05,0.71,69.0%,1.07,75.8,0.70,2016-06-14,2016-09-12
ReDeYe,0.42,0.90,38.1%,0.32,45.0,0.33,2016-06-14,2016-09-12
YNk,1.00,0.69,68.5%,0.98,69.8,0.64,2016-06-14,2016-09-12
sL4M,0.67,0.86,61.9%,0.44,60.6,0.43,2016-06-14,2016-09-12
natu,0.79,0.73,62.2%,0.73,60.0,0.53,2016-06-14,2016-09-12
strike,0.99,0.81,61.9%,0.88,88.0,0.71,2016-06-14,2016-09-12
Texta,1.13,0.76,71.6%,1.14,84.7,0.82,2016-06-14,2016-09-12
acl,0.82,0.81,68.6%,0.73,66.0,0.60,2016-06-14,2016-09-12
