Name,KD,Wins,Losses,Winning_Percentage,Player_1,Player_2,Player_3,Player_4,Player_5,Start_Date,End_Date
Immortals,1.09,50,24,0.6756756756756757,HEN1,LUCAS1,steel,boltz,fnx,2017-03-11,2017-06-09
lllllll,0.80,0,2,0.0,hk0n,slap,quix,kalle,riksen,2017-06-09,2017-09-07
Wings.Blue,0.49,0,6,0.0,relax,remeister,JXRwOwyeah,T4y1or,p3rch,2017-06-09,2017-09-07
ASdffuf,0.91,0,2,0.0,HogeL,zen,THOUSAND,malle,eddeman,2017-06-09,2017-09-07
Onlinerz,0.96,0,1,0.0,fr1,Cypez,Moeleley,C4rlito,b1nm7mdd,2017-06-09,2017-09-07
Ty Krasava,0.86,1,2,0.3333333333333333,sibe,DevK,animus,white,mizu,2017-06-09,2017-09-07
Online Mix Ftw,1.03,0,1,0.0,hamadshakur,s0nga_sultan,OGBOBBYJHONSON,zahiR,r1z,2017-06-09,2017-09-07
Valour,0.78,0,1,0.0,hoveRR,Ejram,kAzoo,Osman,Java,2017-06-09,2017-09-07
Fear the Reaper,0.79,0,1,0.0,Kasper,Ebeee,Bitchplz,420IYOLO,Pogba,2017-06-09,2017-09-07
Riotous,0.90,0,1,0.0,jkr,DiinKy,RequieM,pad0s,BlackouT,2017-06-09,2017-09-07
YellowTeeth,1.10,4,1,0.8,pier,GUGLi,kIMERA,Epic,SparkeR,2017-06-09,2017-09-07
WaterDogs,0.99,2,3,0.4,cla,biohazard,sapphire,morphiw0w,Pisa,2017-06-09,2017-09-07
Atleterna,1.07,4,2,0.6666666666666666,xole,Baltec,MKN,HugoXD,Plopski,2017-06-09,2017-09-07
fightclub,1.14,6,2,0.75,robiin,konshi,b0bbzki,BENDJI,Sayf,2017-06-09,2017-09-07
OutPlayed,0.94,1,2,0.3333333333333333,dudley,grigio,Lomba,NIEDDU,grigua,2017-06-09,2017-09-07
m0nster,0.62,0,2,0.0,hyoil,Jjong,xeta,Sunbi,kyo,2017-06-09,2017-09-07
Paradox,0.75,0,1,0.0,Riko,KAUS IV,Shorn,deMo-,2D,2017-06-09,2017-09-07
Somali Pilots,0.74,1,2,0.3333333333333333,Habib,gargoyle,ju1ces,chelleos,Sand,2017-06-09,2017-09-07
DnA,0.82,1,2,0.3333333333333333,stoner,Aly67,TUNE,JOKER,EEbl3,2017-06-09,2017-09-07
One-Tapz,0.80,1,2,0.3333333333333333,AWK,Viking,makaveli,WeZ,rooney,2017-06-09,2017-09-07
Ballistix,0.89,1,3,0.25,PlesseN,Jayzwalkingz,Golden,Karus,Bååten,2017-06-09,2017-09-07
WeNeedOrg,1.10,0,1,0.0,cHk,slot,ShutAsY,Mk,DebornY,2017-06-09,2017-09-07
PLAY5,0.71,0,1,0.0,Melbuddy,Bigas,sev,WOOD7,Tuurtle,2017-06-09,2017-09-07
Taiwan Z,0.90,0,1,0.0,Nyx,Naimres,Sayoko,YanLi,crazyface,2017-06-09,2017-09-07
BootKamp fe,0.84,2,3,0.4,gabs,fly,santininha,ninha,AMD,2017-06-09,2017-09-07
LGB fe,0.82,0,2,0.0,Hedje,Kim,mattye,L.K.S,Missa,2017-06-09,2017-09-07
inf!nite,0.44,0,1,0.0,iannn,osker,Xian,Yb,Abell,2017-06-09,2017-09-07
Universe,0.97,2,3,0.4,garzeN,The eLiVe,Lastík,Relia,luko,2017-06-09,2017-09-07
Immunity,1.02,5,7,0.4166666666666667,MoeycQ,BURNRUOk,erkaSt,Gratisfaction,cozeh,2017-06-09,2017-09-07
Radix,1.06,2,2,0.5,Danceyz,dOMM,DREAM,ozzy,r0m,2017-06-09,2017-09-07
Arcade,0.78,0,4,0.0,myth,VNko,STANNISLAW,Zix,Patrick,2017-06-09,2017-09-07
Red Reserve fe,0.85,0,2,0.0,HellRose,Julie,dunno,Nast1a,vic,2017-06-09,2017-09-07
ProGaming,1.03,3,2,0.6,fv,rikz,fpg,caike,LuL4,2017-06-09,2017-09-07
oXzone,0.87,0,2,0.0,SdlTank,Hannibalx,Streak2k10,Jmoments,Crazigl,2017-06-09,2017-09-07
R!OT,0.74,1,2,0.3333333333333333,Procro,HaZR,GiANT,SKiD,vax,2017-06-09,2017-09-07
London Conspiracy fe,1.03,4,2,0.6666666666666666,dshq,t4tty,Bloody Elf,Sindi,Riley,2017-06-09,2017-09-07
U4X,1.02,2,2,0.5,eptic,Spywar,izk,hOLMBERG,Ayes,2017-06-09,2017-09-07
haschpsykos,0.78,0,4,0.0,fjenko,keppy,EMILZKK,DEX,mre,2017-06-09,2017-09-07
GamerZ,1.11,2,2,0.5,ensa,Limpone,Queenix,WolfY,elo,2017-06-09,2017-09-07
Plantronics,1.10,4,0,1.0,quix,squidi,bishop,kolor,krii,2017-06-09,2017-09-07
Dynasty fe,1.41,6,0,1.0,mimi,vilga,juliano,Ant1ka,zAAz,2017-06-09,2017-09-07
Evolution,0.38,0,1,0.0,nsww,z1,MistikyM,shaft,vvalter,2017-06-09,2017-09-07
Eastern Vikings,0.82,1,3,0.25,KaDaZ,gravityy,socN,vhL,b0ychild,2017-06-09,2017-09-07
Incept,0.86,1,3,0.25,J1rah,goa,JDK,sterling,kalth,2017-06-09,2017-09-07
xoxo,0.79,1,5,0.16666666666666666,smL,juice,Dolzy,kiko,xCeeD,2017-06-09,2017-09-07
