Date,Team1,Team2,Map,Team1_Win,Team2_Win
2016-09-02,CLG,NRG,Cobblestone,1,0
2016-09-02,NRG,CLG,Overpass,1,0
2016-09-02,Echo Fox,TSM,Dust2,1,0
2016-09-02,Echo Fox,TSM,Mirage,0,1
2016-09-02,TSM,Echo Fox,Nuke,0,1
2016-09-02,CLG,NRG,Mirage,1,0
2016-09-03,TeamOne,Remo Brave,Cache,0,1
2016-09-03,Remo Brave,TeamOne,Train,0,1
2016-09-03,Remo Brave,TeamOne,Dust2,1,0
2016-09-03,Heroic,Selfless,Train,1,0
2016-09-03,Winterfox,Splyce,Overpass,0,1
2016-09-03,Splyce,Winterfox,Mirage,0,1
2016-09-03,Winterfox,Splyce,Cache,1,0
2016-09-03,Cloud9,Rogue,Mirage,1,0
2016-09-03,Selfless,Winterfox,Mirage,1,0
2016-09-03,Winterfox,Selfless,Cobblestone,0,1
2016-09-03,ACE,Complexity,Dust2,0,1
2016-09-03,ACE,Complexity,Cache,0,1
2016-09-03,carboN,Aperture,Mirage,1,0
2016-09-03,carboN,Aperture,Cache,1,0
2016-09-03,Bpro,Above the Rest,Cache,0,1
2016-09-03,Bpro,Above the Rest,Train,1,0
2016-09-03,Above the Rest,Bpro,Dust2,0,1
2016-09-03,Energy,Aperture,Mirage,0,1
2016-09-03,Aperture,Energy,Cache,1,0
2016-09-03,Denmark,Netherlands,Mirage,1,0
2016-09-03,Netherlands,Denmark,Dust2,0,1
2016-09-03,EHOME,VG.CyberZen,Cobblestone,0,1
2016-09-03,EHOME,VG.CyberZen,Train,0,1
2016-09-03,Damage Control,xTc,Mirage,0,1
2016-09-03,Damage Control,xTc,Cache,1,0
2016-09-03,Damage Control,xTc,Overpass,1,0
2016-09-03,Planetkey,BLUEJAYS,Cache,0,1
2016-09-03,GODSENT,LetExerzCarry,Cache,1,0
2016-09-03,Space Soldiers,ALTERNATE aTTaX,Cache,0,1
2016-09-03,carboN,Bravado,Train,0,1
2016-09-03,carboN,Bravado,Cobblestone,0,1
2016-09-03,VATIC,Kinguin,Cache,0,1
2016-09-03,HellRaisers,Epsilon,Cache,1,0
2016-09-03,Selfless,Immortals,Overpass,0,1
2016-09-03,Immortals,Selfless,Mirage,1,0
2016-09-03,Shadows,GODSENT,Mirage,0,1
2016-09-03,WinFiction,HEADSHOTBG,Train,0,1
2016-09-03,WinFiction,HEADSHOTBG,Overpass,0,1
2016-09-03,Planetkey,BLUEJAYS,Dust2,0,1
2016-09-03,Cloud9,CLG,Mirage,1,0
2016-09-03,Complexity,Rogue,Mirage,1,0
2016-09-03,CLG,Cloud9,Train,0,1
2016-09-03,Rogue,Complexity,Cache,0,1
2016-09-03,Heroic,OpTic,Train,0,1
2016-09-03,Heroic,OpTic,Cobblestone,1,0
2016-09-03,OpTic,Heroic,Nuke,0,1
2016-09-03,Damage Control,Aperture,Cobblestone,0,1
2016-09-03,Russia,Turkey,Train,0,1
2016-09-03,Aperture,Damage Control,Mirage,1,0
2016-09-03,Russia,Turkey,Mirage,1,0
2016-09-03,EURONICS,Planetkey,Cache,1,0
2016-09-03,Russia,Turkey,Cobblestone,0,1
2016-09-03,VwS,ALTERNATE aTTaX,Dust2,0,1
2016-09-03,Planetkey,EURONICS,Cobblestone,0,1
2016-09-03,Defying Gravity,Epsilon,Cobblestone,0,1
2016-09-03,Complexity,Echo Fox,Cache,1,0
2016-09-03,Kinguin,TEAMYOUCANTBEAT,Cobblestone,1,0
2016-09-03,Echo Fox,Complexity,Dust2,1,0
2016-09-03,XPC,Nexus,Nuke,0,1
2016-09-03,Echo Fox,Complexity,Mirage,1,0
2016-09-03,Cloud9,Heroic,Overpass,0,1
2016-09-03,Heroic,Cloud9,Train,0,1
2016-09-03,Cloud9,Heroic,Mirage,1,0
2016-09-03,Nexus,XPC,Overpass,0,1
2016-09-04,Innova,BigGods,Train,0,1
2016-09-03,XPC,Nexus,Cobblestone,1,0
2016-09-03,PENTA,EURONICS,Cobblestone,0,1
2016-09-03,EURONICS,PENTA,Cache,0,1
2016-09-03,EURONICS,PENTA,Overpass,0,1
2016-09-04,Innova,BigGods,Dust2,0,1
2016-09-04,RED Canids,CNB,Cobblestone,0,1
2016-09-04,RED Canids,CNB,Dust2,1,0
2016-09-04,Echo Fox,Immortals,Train,0,1
2016-09-04,Immortals,Echo Fox,Nuke,0,1
2016-09-04,Immortals,Echo Fox,Cache,1,0
2016-09-03,Space Soldiers,LegendsNeverDie,Train,1,0
2016-09-03,Tricked,HellRaisers,Cobblestone,0,1
2016-09-03,EnRo GRIFFINS,Shadows,Mirage,0,1
2016-09-04,GamePub,faithIN,Mirage,1,0
2016-09-03,VATIC,LOCALG,Mirage,1,0
2016-09-04,GamePub,faithIN,Cache,1,0
2016-09-04,Aperture,carboN,Mirage,0,1
2016-09-04,carboN,Aperture,Train,0,1
2016-09-04,carboN,Aperture,Nuke,0,1
2016-09-04,TEAM1231,iNation,Cobblestone,1,0
2016-09-04,TEAM1231,iNation,Mirage,0,1
2016-09-04,TEAM1231,iNation,Cache,0,1
2016-09-04,GODSENT,FaZe,Mirage,1,0
2016-09-04,FaZe,GODSENT,Train,1,0
2016-09-04,FaZe,GODSENT,Dust2,1,0
2016-09-04,mousesports,Gambit,Cobblestone,1,0
2016-09-04,Gambit,mousesports,Cache,0,1
2016-09-04,FlipSid3,Envy,Train,0,1
2016-09-04,FlipSid3,Envy,Cache,0,1
2016-09-04,Astralis,Dignitas,Nuke,0,1
2016-09-04,Dignitas,Astralis,Cache,0,1
2016-09-04,Dignitas,Astralis,Dust2,0,1
2016-09-04,TEAM1231,faithIN,Overpass,1,0
2016-09-04,Bpro,HEADSHOTBG,Train,1,0
2016-09-04,iNation,GamePub,Mirage,1,0
2016-09-04,GamePub,iNation,Cobblestone,0,1
2016-09-04,Bpro,HEADSHOTBG,Overpass,1,0
2016-09-04,Aperture,Bravado,Cache,0,1
2016-09-04,Aperture,Bravado,Train,0,1
2016-09-04,GamePub,TEAM1231,Cobblestone,1,0
2016-09-04,PENTA,BLUEJAYS,Mirage,0,1
2016-09-04,Stubborn,DreamRAR,Cache,0,1
2016-09-04,Stubborn,DreamRAR,Dust2,0,1
2016-09-04,Heroic,Echo Fox,Overpass,1,0
2016-09-04,Heroic,Echo Fox,Nuke,1,0
2016-09-04,FaZe,mousesports,Mirage,1,0
2016-09-04,mousesports,FaZe,Nuke,0,1
2016-09-04,Astralis,Envy,Nuke,1,0
2016-09-04,Astralis,Envy,Dust2,0,1
2016-09-04,Astralis,Envy,Mirage,1,0
2016-09-04,iNation,GamePub,Cache,1,0
2016-09-04,iNation,GamePub,Train,1,0
2016-09-04,Tengri,deadweight,Train,0,1
